name,color,model,price,Màn hình:,Hệ điều hành:,Camera sau:,Camera trước:,Chip:,RAM:,Dung lượng lưu trữ:,SIM:,"Pin, Sạc:",Danh bạ:,Thẻ nhớ:,Radio FM:,Jack cắm tai nghe:,Pin:
Điện thoại Xiaomi Redmi Note 12 Pro 256GB,Xám,256GB,7.690.000₫ ,"AMOLED, 6.67"", Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 732G,8 GB,256 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, 67 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 256GB,Xanh dương nhạt,256GB,7.690.000₫ ,"AMOLED, 6.67"", Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 732G,8 GB,256 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, 67 W",,,,,
Điện thoại Samsung Galaxy A53 5G 128GB,Xanh Dương,,6.790.000₫ ,"Super AMOLED, 6.5"", Full HD+",Android 12,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Exynos 1280,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A53 5G 128GB,Đen,,6.790.000₫ ,"Super AMOLED, 6.5"", Full HD+",Android 12,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Exynos 1280,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A53 5G 128GB,Cam,,6.790.000₫ ,"Super AMOLED, 6.5"", Full HD+",Android 12,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Exynos 1280,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A53 5G 128GB,Trắng,,6.790.000₫ ,"Super AMOLED, 6.5"", Full HD+",Android 12,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Exynos 1280,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Xiaomi Redmi Note 12S,Đen,,6.390.000₫ ,"AMOLED, 6.43"", Full HD+",Android 13,"Chính 108 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Helio G96,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại Xiaomi Redmi Note 12S,Xanh Dương,,6.390.000₫ ,"AMOLED, 6.43"", Full HD+",Android 13,"Chính 108 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Helio G96,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại Xiaomi Redmi Note 12S,Xanh lá,,6.390.000₫ ,"AMOLED, 6.43"", Full HD+",Android 13,"Chính 108 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Helio G96,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO A77s,Đen,,6.290.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,8 MP,Snapdragon 680,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
